Scientific Name,Common Name,PISC Priority Score,PA Noxious Weed Rank,Invasive Assessment Score,Aquatic or Terrestrial,PLNA Economic Importance Score,DCNR Rank,EDRR
Wisteria sinensis,Chinese Wisteria,3.6,,57.0,Terrestrial,4.2,2,No
Wisteria floribunda,Japanese Wisteria,4.5,,57.0,Terrestrial,4.6,2,No
Vincetoxicum rossicum,Pale Swallow-Wort,4.4,B,88.0,Terrestrial,0.1,1,No
Vincetoxicum nigrum,Black Swallow-Wort,4.5,B,90.0,Terrestrial,0.4,1,No
Vinca minor,Common Periwinkle,2.2,,57.0,Terrestrial,7.6,3,No
Vinca major,Bigleaf Periwinkle,2.1,,54.0,Terrestrial,4.3,3,No
Viburnum sieboldii,Siebold Viburnum,2.8,,41.0,Terrestrial,4.1,2,No
Viburnum plicatum,Doublefile Viburnum,2.9,,,Terrestrial,7.4,2,No
Viburnum opulus,Guelder Rose,3.0,,67.0,Terrestrial,3.3,2,No
Viburnum dilatatum,Linden Viburnum,2.8,,57.0,Terrestrial,5.4,2,No
Ulmus pumila,Siberian Elm,2.8,,53.0,Terrestrial,1.4,Watch,No
Typha x glauca,Hybrid Cattail,3.9,,,Aquatic,1.3,1,No
Typha angustifolia,Narrow-Leaved Cattail,4.0,,79.0,Aquatic,2.4,1,No
Tripidium ravennae,Ravenna Grass,2.0,A,63.0,Terrestrial,1.2,Watch,Yes
Trapa natans,European Water Chestnut,7.1,A,82.0,Aquatic,0.4,1,No
Tetradium daniellii,Bee-Bee Tree,2.9,,62.0,Terrestrial,0.4,2,Yes
Stratiotes aloides,Water Soldier,3.1,C,66.0,Aquatic,0.3,,Yes
Stellaria media,Common Chickweed,2.4,,70.0,Terrestrial,0.3,3,No
Spiraea japonica,Japanese Spiraea,4.1,,62.0,Terrestrial,6.1,2,No
Sorghum halepense,Johnson Grass,3.9,B,,Terrestrial,,Watch,No
Sorghum bicolor,Shattercane,3.0,B,,Terrestrial,,3,No
Securigera varia,Crown-vetch,3.9,,62.0,Terrestrial,3.2,2,No
Schedonorus arundinaceus,Tall Fescue,2.8,,65.0,Terrestrial,1.7,3,No
Rubus phoenicolasius,Wineberry,2.8,,86.0,Terrestrial,0.9,2,No
Rosa multiflora,Multiflora Rose,6.2,B,89.0,Terrestrial,,1,No
Rhodotypos scanden,Jetbead,2.6,,69.0,Terrestrial,1.3,1,No
Rhamnus cathartica,Common Buckthorn,5.8,B,81.0,Terrestrial,2.3,1,No
Quercus acutissima,Sawtooth Oak,1.5,,36.0,Terrestrial,4.8,Watch,Yes
Pyrus calleryana,Callery Pear,5.8,B,65.0,Terrestrial,3.7,2,No
Pueraria lobata,Kudzu,8.1,A,84.0,Terrestrial,,1,Yes
Potamogeton crispus,Curly Pondweed,3.6,,80.0,Aquatic,0.4,1,No
Poa trivialis,Rough Bluegrass,1.3,,,Terrestrial,1.6,2,No
Phyllostachys bambusoides,Giant Timber Bamboo,5.2,Under Review,71.0,Terrestrial,0.6,2,No
Phyllostachys aureosulcata,Yellow Groove Bamboo,4.4,Under Review,71.0,Terrestrial,0.4,2,No
Phyllostachys aurea,Golden Bamboo,4.3,Under Review,71.0,Terrestrial,1.0,2,No
Phragmites australis  ssp australis,Common Reed,7.8,Under Review,92.0,Aquatic,0.5,1,No
Phellodendron lavallei,Lavella Corktree,2.6,,,Terrestrial,1.3,2,Yes
Phellodendron japonicum,Japanese Corktree,2.5,,,Terrestrial,1.5,2,Yes
Phellodendron amurense,Amur Corktree,2.0,,74.0,Terrestrial,2.6,2,Yes
Phalaris arundinacea,Reed Canary Grass,7.2,,78.0,Terrestrial,1.8,2,No
Persicaria perfoliata,Mile-A-Minute,8.7,B,91.0,Terrestrial,,1,No
Persicaria longiseta,Bristled Knotweed,3.5,,60.0,Terrestrial,0.3,3,No
Perilla frutescens,Beefsteak Plant,2.3,,41.0,Terrestrial,0.1,2,No
Paulownia tomentosa,Empress Tree,4.5,,51.0,Terrestrial,2.7,2,No
